"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT07","WT08","WT10"
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-01","3.58",,"0.00",,,"43","51","38","   10","   10","12.1","18.1","    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-02","3.36",,"0.00",,,"41","52","30","  180","  210","8.1","11.0",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-03","3.58",,"0.00",,,"43","57","33","   90","  110","10.1","15.0",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-04","4.03",,"0.00",,,"48","67","37","   90","   80","10.1","15.0",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-05","6.04",,"0.07",,,"54","67","45","  160","  160","15.0","21.9","    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-06","3.80",,"0.48",,,"54","55","47","  130","  130","10.1","12.1","    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-07","4.03",,"0.00",,,"51","63","43","   80","  280","8.9","11.0",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-08","2.46",,"0.00",,,"54","72","43","  270","  270","8.9","10.1",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-09","4.47",,"0.00",,,"58","73","48","  100","   80","14.1","17.0",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-10","3.80",,"0.00",,,"60","67","50","  120","  120","8.9","11.0",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-11","5.82",,"0.00",,,"55","66","45","   90","   90","12.1","12.1",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-12","7.61",,"0.03",,,"56","69","47","  240","  250","25.1","31.1",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-13","2.01",,"0.01",,,"55","63","47","  280","  290","10.1","12.1","    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-14","4.70",,"0.03",,,"57","70","51","  140","  140","15.0","19.0",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-15","5.82",,"0.12",,,"60","65","53","  180","  190","17.0","23.0","    1",,,,"    1",
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-16","2.91",,"0.00",,,"57","69","50","  310","  290","8.9","13.0","    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-17","3.36",,"0.00",,,"58","69","48","  100","  100","10.1","13.0",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-18","6.04",,"0.00",,,"61","70","51","  280","  280","16.1","21.0",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-19","3.80",,"0.00",,,"59","71","44","   40","   50","13.0","15.0",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-20","3.36",,"0.00",,,"58","74","46","  290","  340","10.1","12.1",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-21","11.41",,"0.00",,,"59","68","49","  280","  260","33.1","40.0",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-22","5.59",,"0.00",,,"53","64","43","  230","  350","14.1","17.0",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-23","2.91",,"0.00",,,"52","62","38","  230","  200","12.1","16.1",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-24","3.58",,"0.00",,,"52","69","39","  290","  260","12.1","16.1",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-25","4.47",,"0.00",,,"56","69","40","  280","  270","12.1","17.0",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-26","2.91",,"0.00",,,"56","72","41","  210","  290","8.9","12.1",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-27","3.13",,"0.00",,,"58","73","45","  270","  260","8.1","10.1",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-28","3.58",,"0.00",,,"58","72","47","  110","  130","10.1","13.0",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-29","3.13",,"0.00",,,"61","71","51","   60","   40","8.1","13.0",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-30","4.03",,"0.00",,,"63","74","55","  110","  360","8.9","12.1",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-01-31","4.03",,"0.00",,,"62","73","51","  110","  300","8.9","17.0",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-02-01","4.92",,"0.00",,,"64","75","54","  180","  120","13.0","16.1",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-02-02","6.93",,"0.00",,,"63","73","56","  150","  150","15.0","19.0",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-02-03","5.59",,"0.31",,,"62","67","56","  160","  180","13.0","17.0","    1",,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-02-04","8.05",,"0.00",,,"59","66","55","  190","  190","21.9","27.1",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-02-05","10.07",,"0.01",,,"57","67","50","  180","  190","21.0","25.9",,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","33.4278","-112.00365","339.2","2019-02-06","13.42",,"0.07",,,"54","56","42","  270","  270","25.9","34.0","    1",,,,,
